问题,标准回答,引用位置来源1,引用位置来源2,引用位置来源3,引用位置来源4,引用位置来源5
公司2017-2019年的主营业务毛利率分别是多少？,2017年: 26.78%; 2018年: 26.28%; 2019年: 27.32%。,2020-05-12 金盘科技(688676).pdf,第八节 财务会计信息 / 主要财务指标,,,
公司2022年和2023年的主营业务毛利率分别是多少？,2022年: 20.29%; 2023年: 22.81%。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分行业情况,,,
2024年年报披露的2023年和2024年毛利率分别是多少？,2023年: 22.61%; 2024年: 24.32%。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分行业情况 (注: 2023年毛利率由2024年数据倒推),,,
2025年半年度报告披露的2024H1和2025H1的毛利率？,2024年上半年: 23.36%; 2025年上半年: 25.87%。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
截至2024年12月31日，公司的总资产和总负债？,总资产: 96.16亿元; 总负债: 51.69亿元。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 资产、负债情况,,,
截至2023年12月31日，公司的总资产和总负债？,总资产: 85.29亿元; 总负债: 52.32亿元。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 资产、负债情况,,,
对比2023年，金盘科技2024年营收和净利润增速有何差异？,营收增长3.50%，归母净利润增长13.82%。净利润增速明显快于营收增速。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据,,,
2024年净利润增速快于营收增速的可能原因是什么？,2024年毛利率为24.32%，较2023年同期提升了1.71个百分点。毛利率提升是主要原因之一。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
对比2022年，金盘科技2023年营收和净利润增长情况如何？,2023年营收增长40.50%，归母净利润增长78.15%。净利润增速远高于营收增速。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据,,,
2023年净利润增速远快于营收增速的主要原因是什么？,营收大幅增长；数字化工厂降本增效；材料价格下降及优质客户占比提升导致毛利率上升；管理费用率下降。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
对比2020年，金盘科技2021年营收和净利润增长情况如何？,2021年营收增长36.32%，归母净利润增长仅1.31%。净利润增速远低于营收增速。,2022-04-16 金盘科技：2021年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据,,,
2021年净利润增速远低于营收增速的主要原因是什么？,大宗材料（如电解铜）价格大幅上涨；海外疫情导致外销业务运费明显上涨。,2022-04-16 金盘科技：2021年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2024年公司外销业务增长率是多少？其背后原因是什么？,2024年外销业务收入同比增长68.26%。原因是公司实施全球化战略，完成了墨西哥基地扩建、筹备美国工厂等。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2025年上半年公司数据中心领域销售收入增长情况如何？,销售收入超5亿元，同比大幅增长460.51%。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2024年公司数据中心订单增长情况如何？,报告期内（2024年），公司数据中心订单同比增长603.68%。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2023年公司哪个业务板块增长最快？增长动力是什么？,储能系列业务，同比增长546.95%。动力是中高压直挂全液冷储能系统新业务实现快速发展，新承接订单大增。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分产品情况,,,
2024年公司经营活动现金流量净额为何是负值？,"为-3,698.13万元。主要原因是参与新能源开发业务导致现金流出2.47亿元，及应收账款回款延后。",2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 现金流,,,
2022年公司经营活动现金流量净额为何是负值？,"为-10,420.40万元。主要原因是2022年第四季度经济下行，货款回收受到影响。",2023-03-21 金盘科技：2022年年度报告.pdf,第三节 管理层讨论与分析 / 现金流,,,
数字化转型（海口数字化工厂）对生产效率和成本有何影响？,2022年报披露：相比2019年，产能提升约124%，人均产出额提升约136%，单位kVA工费成本下降超过15%。,2023-03-21 金盘科技：2022年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2021-2023年公司的研发投入总额变化趋势？,持续大幅增长。2021年1.58亿元，2022年2.47亿元，2023年3.51亿元。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 研发投入,,,
公司2024年研发投入资本化的比重为何从0变为0.79%？,因为公司根据《企业数据资源相关会计处理暂行规定》，将新开发的新能源集控数据资产等相关研发投入进行了资本化。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 研发投入,,,
分析2017-2019年应收账款变化趋势。,"呈逐年上升趋势 (2017年7.29亿, 2018年8.75亿, 2019年9.82亿)。招股书将其列为重大风险。",2020-05-12 金盘科技(688676).pdf,第四节 风险因素 / 应收账款余额较大风险,,,
2017-2019年毛利率与2022-2023年毛利率相比有何变化？,2022-2023年毛利率(约20%-23%)相较于2017-2019年(约26%-27%)有明显下降。,2020-05-12 金盘科技(688676).pdf; 2024-03-21 金盘科技：2023年年度报告.pdf,财务会计信息 / 主要财务指标; 管理层讨论与分析,,,
2025H1报告中提到的“AIDC”和“SST”技术是什么？,AIDC：人工智能数据中心；SST：固态变压器。公司已完成10kV/2.4MW SST样机，适用于HVDC800V供电架构。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2024年，公司的数据中心业务取得了怎样的增长？,2024年数据中心订单同比增长603.68%，签订了140余份数据中心订单。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2025年上半年，数据中心电源模块销售收入增长情况如何？,同比增长100.25%。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
金盘科技现在谁说了算？老板是谁？,公司负责人（法定代表人）是李辉。,2025-04-03 金盘科技：2024年年度报告.pdf,重要提示 / 公司简介,,,
真正控制这家公司的是谁？,实际控制人是李志远和YUQING JING(靖宇清)夫妇。,2025-04-03 金盘科技：2024年年度报告.pdf,第四节 公司治理 / 实际控制人情况,,,
这家公司是哪的？总部在哪？,在海南省海口市。,2025-04-03 金盘科技：2024年年度报告.pdf,第四节 公司治理 / 公司基本信息,,,
帮他们上市的是哪家券商？,浙商证券股份有限公司。,2020-05-12 金盘科技(688676).pdf,封面,,,
他们的账是谁审的？换过吗？,近几年（2021-2024年）都是中汇会计师事务所(特殊普通合伙)。,2025-04-03 金盘科技：2024年年度报告.pdf,重要提示 / 审计报告,,,
公司股票代码多少？,688676,2025-04-03 金盘科技：2024年年度报告.pdf,封面,,,
他们那个债券叫啥？,金盘转债。,2024-03-21 金盘科技：2023年年度报告.pdf,封面,,,
这公司到底是干嘛的？,主要是做输配电及控制设备（如变压器、成套设备），也做储能，还给工厂提供数字化解决方案。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 公司业务概要,,,
刚上市那会儿（2020年）他们是干嘛的？,差不多，主要也是做新能源、高端装备等领域的输配电及控制设备。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 主营业务,,,
他们的老本行（变压器）现在还占大头吗？,是的。2024年“中低压变压器系列”收入35.8亿，占主营业务约52%。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分产品情况,,,
2024年干得怎么样？赚了多少钱？,挺好。营收69.01亿，归母净利润5.74亿。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据,,,
2023年呢？是不是增长很快？,2023年很不错，营收66.68亿，净利润5.05亿，净利润增长了78.15%。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据,,,
2022年业绩如何？,营收47.46亿，净利润2.83亿。,2023-03-21 金盘科技：2022年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据,,,
刚上市那年（2021年）业绩呢？,营收33.03亿，净利润2.35亿。,2022-04-16 金盘科技：2021年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据,,,
上市前（2019年）一年能做多大生意？,2019年营收22.44亿。,2020-05-12 金盘科技(688676).pdf,第八节 财务会计信息 / 合并利润表,,,
2025年过半了，业绩跟得上吗？,2025上半年营收31.54亿 (增8.16%)，净利润2.65亿 (增19.08%)，还不错。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 主要财务数据,,,
2024年上半年和2023年上半年比呢？,2024上半年营收 (29.16亿) 和2023上半年 (28.93亿) 差不多，但利润 (2.22亿) 比2023年 (1.91亿) 多。,2024-08-10 金盘科技：2024年半年度报告.pdf,第三节 管理层讨论与分析 / 主要财务数据,,,
2023年上半年是不是比2022年上半年好很多？,是的，2023年H1营收 (28.93亿) 比2022年H1 (19.75亿) 增长46.5%，利润 (1.91亿) 更是翻倍 (增长99.9%)。,2023-08-30 金盘科技：2023年半年度报告.pdf,第三节 管理层讨论与分析 / 主要财务数据,,,
